Global	Twins	Flemish
R08503	R08503	R08503
R06200	R06200	R06200
R08693	R08693	R08693
R04311	R04311	R04311
R10505	R00428	R00428
R00428	R00429	R00429
R00429	R00420	R00420
R00420	R00426	R00426
R00426	R00425	R00425
R00425	R06114	R06114
R06114	R01648	R01648
R01648	R06113	R06113
R06113	R01645	R01645
R01645	R01647	R01647
R01644	R01641	R01641
R01647	R01316	R01316
R01641	R01315	R01315
R01316	R02596	R02596
R01315	R02590	R02590
R02596	R00734	R00734
R02590	R01001	R01000
R00734	R01000	R01009
R01001	R01009	R02528
R01000	R02529	R06590
R01009	R02528	R03351
R02529	R06590	R03350
R06066	R03351	R01481
R02528	R03350	R03355
R06590	R01481	R00904
R03351	R03355	R05506
R03350	R00904	R01268
R01481	R05506	R08366
R03355	R01268	R01466
R00904	R08366	R00908
R05506	R01466	R00996
R01268	R00908	R00994
R08366	R00996	R00848
R01466	R00994	R00844
R00908	R00848	R00847
R00996	R00844	R00842
R00994	R02173	R00192
R00848	R00847	R00190
R00844	R00842	R00194
R02173	R00192	R04163
R00846	R00190	R00199
R00847	R00194	R06927
R00842	R04163	R03909
R00192	R00199	R01917
R00190	R06927	R02825
R00191	R03909	R10039
R00196	R01917	R02000
R00194	R02825	R10035
R04163	R10039	R10219
R00199	R02000	R04509
R06927	R10035	R05586
R03909	R10219	R09660
R01917	R04509	R06859
R02825	R05586	R01231
R10039	R09660	R04988
R02000	R06859	R04985
R09220	R01231	R04986
R10035	R04988	R02918
R10219	R04985	R04430
R04509	R04986	R03425
R05586	R02918	R02912
R09660	R02919	R08124
R05582	R04430	R02914
R06859	R03425	R06447
R01231	R02912	R04188
R04988	R08124	R11188
R04985	R02914	R04210
R04986	R06447	R01317
R08120	R04188	R00212
R02918	R11188	R00215
R02919	R04210	R00214
R04430	R01317	R00217
R03425	R00212	R00216
R02912	R00215	R08042
R08124	R00214	R04230
R02914	R00217	R06529
R06447	R00216	R03634
R04188	R08042	R03635
R11188	R04230	R05196
R11183	R06529	R01855
R04210	R03634	R01856
R01317	R03635	R01857
R00212	R05196	R00509
R00215	R01855	R00508
R00214	R01856	R02021
R00217	R01857	R00505
R00216	R00509	R01858
R08042	R00508	R01859
R04230	R02021	R02023
R06529	R00505	R01920
R03634	R01858	R09247
R03635	R01859	R09372
R05196	R02023	R03189
R01855	R01920	R02029
R01856	R09247	R03180
R01857	R09372	R03182
R00509	R03189	R05508
R00508	R02029	R00540
R02021	R03180	R00439
R00505	R03182	R00438
R01858	R05508	R08227
R01859	R00540	R08220
R02023	R00439	R08221
R01920	R00438	R00431
R09247	R08227	R00430
R09372	R08220	R00435
R03189	R08221	R00434
R02029	R00431	R00437
R03180	R00430	R01678
R03182	R00435	R01676
R05508	R00434	R01677
R00540	R00437	R02340
R00439	R01678	R07459
R00438	R01676	R07456
R08227	R01677	R03299
R08220	R02340	R03291
R08221	R07459	R03293
R08222	R07456	R00726
R00431	R03291	R00720
R00430	R03293	R06211
R00435	R00726	R01072
R00434	R00720	R08017
R00437	R06211	R01070
R01678	R01072	R01071
R01676	R08017	R01074
R01677	R01070	R00269
R02340	R01071	R01078
R07459	R01074	R05000
R07456	R00269	R04957
R03299	R01078	R04486
R03291	R05000	R04487
R03293	R04957	R03367
R00726	R04486	R04170
R00720	R04487	R07859
R06211	R03367	R03165
R04218	R04170	R03163
R00728	R07859	R03161
R01072	R03165	R05177
R08017	R03163	R05176
R01070	R03161	R09497
R01071	R05177	R01291
R01074	R05176	R01106
R00269	R01291	R01104
R01078	R01106	R01105
R05000	R01104	R00985
R04957	R01105	R01103
R04486	R00985	R01101
R04487	R01103	R11143
R03367	R01101	R01582
R04170	R11143	R00858
R07859	R01582	R00851
R03165	R00858	R02164
R03163	R00851	R02166
R03161	R02164	R00183
R05177	R02166	R00182
R05176	R00183	R00185
R09497	R00182	R00189
R09493	R00189	R00188
R01290	R00188	R07268
R01291	R07268	R04751
R01106	R04751	R06917
R01104	R06917	R02014
R01105	R02014	R02017
R00985	R02017	R02019
R01103	R02019	R02018
R01101	R02018	R04534
R11143	R04534	R04535
R01582	R04535	R04536
R00858	R04536	R04537
R00851	R04537	R10757
R02164	R10757	R10209
R02166	R10209	R05591
R00183	R05591	R05590
R00182	R05590	R10117
R00189	R10117	R10116
R00188	R10116	R10115
R07268	R10115	R10119
R04751	R10119	R10118
R06917	R10118	R00999
R04754	R00999	R09107
R02014	R02908	R04405
R02017	R09107	R10689
R02019	R04405	R03470
R02018	R10689	R10460
R04534	R03470	R00228
R04535	R10460	R00229
R04536	R00228	R00226
R04537	R00226	R00227
R10206	R00227	R00220
R10757	R00220	R00221
R10204	R00221	R01762
R10209	R01762	R08057
R09078	R08056	R08056
R05591	R08781	R08781
R05590	R09365	R09365
R10117	R01961	R01961
R10116	R01844	R01844
R10115	R02765	R03193
R02189	R03193	R03192
R10119	R03192	R03191
R10118	R03191	R03197
R00999	R03197	R03194
R02908	R03194	R00405
R09107	R00405	R00401
R04405	R00401	R08233
R10689	R08233	R08232
R10685	R08232	R08237
R03470	R08237	R01933
R00228	R01933	R01931
R00229	R01931	R09543
R00226	R09543	R03283
R00227	R03283	R02376
R00220	R02377	R02377
R00221	R02370	R02370
R01762	R02371	R02371
R08056	R02372	R02372
R08781	R01465	R01465
R08780	R02570	R02570
R09365	R02571	R02571
R01961	R00710	R00710
R01844	R00713	R00713
R02765	R00714	R00714
R03193	R06267	R06267
R03192	R00717	R00717
R03191	R06268	R01061
R03197	R06269	R01067
R03194	R01061	R01066
R00405	R01067	R01069
R00401	R01066	R01068
R03751	R01069	R06004
R08233	R01068	R03372
R08232	R06004	R01665
R08230	R01665	R01664
R08237	R01664	R01663
R01933	R01663	R03172
R01931	R03172	R02484
R09543	R02484	R02485
R03283	R02485	R01288
R02376	R01288	R01287
R02377	R01287	R01286
R02370	R01286	R01280
R02371	R01280	R01449
R02372	R01449	R01446
R01465	R01446	R01117
R02570	R01117	R00289
R02571	R00289	R04747
R00710	R04747	R04746
R00713	R04746	R04745
R00714	R04745	R04744
R06267	R04744	R04742
R00717	R04742	R04741
R06268	R04741	R04740
R06269	R04740	R02540
R01061	R02540	R04749
R01067	R04749	R04748
R01066	R04748	R00885
R01069	R00885	R05617
R01068	R05617	R05614
R06004	R05614	R05615
R01665	R05615	R02262
R01664	R02262	R02020
R01663	R02020	R02024
R03172	R02024	R09248
R02487	R09248	R10764
R02484	R10764	R03916
R02485	R03916	R00089
R01288	R00089	R03991
R01287	R03991	R03277
R01286	R03277	R00081
R01280	R00084	R00084
R01449	R00086	R00086
R01446	R02971	R02971
R01117	R03920	R03920
R00289	R00156	R00156
R04747	R05332	R05332
R04746	R00150	R00150
R04745	R00158	R00158
R04744	R01826	R01826
R04742	R08571	R08571
R04741	R03471	R03471
R04740	R00239	R00239
R02540	R00238	R00238
R04749	R00230	R00230
R04748	R10948	R10948
R00885	R10949	R10949
R05617	R00235	R00235
R05614	R10782	R10782
R05615	R00905	R00905
R02262	R00765	R00765
R02020	R03576	R03576
R02024	R11099	R11099
R05295	R11098	R11098
R09248	R01823	R01823
R10764	R00529	R00529
R03916	R00094	R02719
R00089	R02719	R03980
R03991	R03980	R00093
R03990	R00093	R08559
R03277	R08559	R08553
R00081	R08553	R08555
R00084	R08555	R07618
R00086	R07618	R07613
R02971	R07613	R00410
R03920	R00410	R00416
R02806	R00416	R07404
R00197	R07404	R07407
R00156	R07407	R07406
R05332	R07406	R01942
R00150	R01940	R01940
R00158	R02362	R02362
R01826	R02361	R02361
R08571	R03443	R03443
R09726	R02569	R02569
R03471	R02568	R02568
R00239	R02565	R02565
R00238	R02566	R02566
R00230	R06270	R00709
R10948	R00709	R00708
R10949	R00708	R00707
R00235	R00707	R00706
R10782	R00706	R00705
R00905	R00705	R00704
R00765	R00704	R00703
R04257	R00703	R01058
R03576	R01058	R01728
R11099	R01728	R01054
R11098	R01054	R01056
R08734	R01056	R01057
R00527	R01057	R01051
R01823	R01051	R02235
R00524	R02235	R03387
R00529	R03387	R02499
R00094	R02499	R03145
R02718	R03145	R02497
R02719	R02497	R02656
R03980	R02656	R01432
R00093	R01432	R01433
R08559	R01433	R01122
R08553	R01122	R01123
R08555	R01123	R01126
R07618	R01126	R01127
R07613	R01127	R04936
R00410	R04936	R02777
R00416	R02777	R02148
R07404	R02148	R03613
R07407	R02382	R01639
R07406	R03613	R04880
R01942	R01639	R04737
R01940	R04880	R04738
