Cores	Global	Metagenome
Core_50	2445	3562
Core_51	2443	3520
Core_52	2440	3517
Core_53	2434	3498
Core_54	2431	3486
Core_55	2428	3481
Core_56	2401	3468
Core_57	2382	3460
Core_58	2378	3441
Core_59	2368	3433
Core_60	2366	3422
Core_61	2366	3411
Core_62	2354	3387
Core_63	2353	3370
Core_64	2342	3357
Core_65	2338	3354
Core_66	2333	3329
Core_67	2318	3316
Core_68	2316	3307
Core_69	2309	3297
Core_70	2299	3259
Core_71	2295	3232
Core_72	2292	3224
Core_73	2286	3214
Core_74	2284	3193
Core_75	2281	3178
Core_76	2276	3172
Core_77	2271	3150
Core_78	2259	3128
Core_79	2254	3118
Core_80	2247	3108
Core_81	2234	3073
Core_82	2222	3061
Core_83	2217	3046
Core_84	2203	3039
Core_85	2202	3003
Core_86	2191	2990
Core_87	2182	2962
Core_88	2177	2948
Core_89	2170	2901
Core_90	2165	2863
Core_91	2154	2828
Core_92	2139	2789
Core_93	2113	2734
Core_94	2096	2687
Core_95	2089	2628
Core_96	2054	2596
Core_97	2036	2492
Core_98	2003	2425
Core_99	1959	2341
Core_100	1856	2198
