Reaccion	CD_Rectum	Not_IBD_Rectum	CD_Illeum	Not_IBD_Illeum
R00005	78.37837838	84.87394958	78.0876494	82.02247191
R00006	100	100	100	100
R00009	100	100	100	100
R00010	87.02702703	92.43697479	90.83665339	89.3258427
R00013	100	100	99.60159363	100
R00014	100	100	100	100
R00019	100	100	99.20318725	100
R00021	100	100	100	100
R00022	100	100	100	100
R00024	96.21621622	89.91596639	95.61752988	88.20224719
R00025	99.45945946	98.31932773	99.60159363	98.87640449
R00026	100	100	100	100
R00028	100	100	100	100
R00036	100	100	100	100
R00066	100	100	100	100
R00078	100	100	100	100
R00081	76.75675676	72.26890756	79.28286853	73.59550562
R00084	100	100	100	100
R00086	100	100	100	100
R00089	100	100	100	100
R00093	100	100	100	100
R00094	99.45945946	98.31932773	99.20318725	98.31460674
R00103	100	100	100	100
R00104	100	100	100	100
R00112	99.45945946	100	100	99.43820225
R00114	100	100	100	100
R00115	99.45945946	98.31932773	99.20318725	98.31460674
R00124	100	100	100	100
R00125	100	100	99.60159363	100
R00127	100	100	100	100
R00130	100	100	100	100
R00131	100	100	100	100
R00132	100	100	100	100
R00135	98.91891892	99.15966387	100	100
R00137	100	100	100	100
R00139	100	100	100	100
R00150	100	100	100	100
R00156	100	100	100	100
R00158	100	100	100	100
R00161	100	100	100	100
R00174	100	100	100	100
R00177	100	100	100	100
R00178	100	100	100	100
R00182	100	100	100	100
R00183	100	100	100	100
R00185	93.51351351	93.27731092	92.82868526	93.82022472
R00188	100	100	100	100
R00189	100	96.63865546	100	99.43820225
R00190	100	100	100	100
R00191	100	97.4789916	98.00796813	96.62921348
R00192	100	100	100	100
R00194	100	100	100	100
R00196	94.59459459	83.19327731	92.82868526	89.3258427
R00197	90.27027027	95.79831933	90.03984064	92.13483146
R00199	100	100	100	100
R00200	100	100	100	100
R00203	100	100	100	100
R00206	100	100	100	100
R00207	38.37837838	41.17647059	61.35458167	52.24719101
R00212	100	100	100	100
R00214	100	100	100	100
R00215	100	100	100	100
R00216	100	100	100	100
R00217	100	100	100	100
R00220	100	100	100	100
R00221	100	100	100	100
R00226	100	100	100	100
R00227	100	99.15966387	99.60159363	98.87640449
R00228	100	100	100	100
R00229	77.83783784	93.27731092	84.06374502	97.19101124
R00230	100	100	100	100
R00235	100	100	100	100
R00236	100	100	100	100
R00238	100	100	100	100
R00239	100	100	100	100
R00243	100	99.15966387	100	99.43820225
R00245	100	100	100	100
R00248	100	100	100	100
R00253	100	100	100	100
R00256	100	100	100	100
R00257	100	100	100	100
R00258	100	100	100	100
R00259	100	100	100	100
R00260	100	100	100	100
R00261	100	100	100	100
R00262	97.2972973	91.59663866	98.00796813	97.19101124
R00264	100	100	100	100
R00267	100	100	100	100
R00268	100	100	100	100
R00269	100	100	100	100
R00271	91.89189189	90.75630252	91.23505976	97.75280899
R00274	100	100	100	100
R00277	100	100	100	100
R00278	100	100	100	100
R00286	100	100	100	100
R00289	100	100	100	100
R00291	100	100	100	100
