Shotgun	Global
R10244	R08503
R07336	R06200
R08503	R08693
R06200	R04311
R07888	R10505
R08087	R00428
R08693	R00429
R04311	R00420
R01445	R00421
R08856	R00426
R01887	R00425
R10951	R06114
R00428	R01648
R00429	R06113
R00439	R01645
R00421	R01644
R00426	R01647
R01918	R01641
R00425	R01316
R06114	R01315
R01318	R02596
R01648	R02590
R06113	R00734
R01644	R01001
R01647	R01000
R01310	R01009
R01317	R02529
R01316	R06066
R01315	R02528
R02352	R06590
R02353	R03351
R02358	R03350
R02596	R01481
R09136	R03355
R02590	R00904
R10507	R05506
R00734	R01268
R01005	R08366
R07411	R01466
R01001	R00908
R01000	R00996
R01009	R00994
R02529	R00848
R08227	R00844
R06066	R02173
R02528	R00846
R06590	R00847
R03417	R09820
R03351	R00842
R03350	R00192
R03355	R00190
R00904	R00191
R05506	R00196
R03300	R00194
R08366	R04163
R05907	R00199
R08221	R06927
R02257	R03909
R01466	R01917
R01461	R02825
R00008	R10039
R00996	R02000
R00994	R09220
R00746	R10035
R03805	R10219
R00848	R04509
R00844	R05586
R02170	R09660
R00842	R05582
R00192	R06859
R00190	R01231
R00191	R04988
R00194	R04985
R10100	R04986
R06927	R08120
R03909	R02918
R09796	R02919
R01917	R04430
R02825	R03425
R10039	R02912
R02000	R08124
R09220	R02914
R10035	R06447
R04509	R04188
R05586	R11188
R09660	R01312
R05582	R11183
R00420	R04210
R04506	R01317
R06859	R00212
R01231	R00215
R04989	R00214
R04988	R00217
R04985	R00216
R04986	R11169
R09375	R08042
R08120	R04230
R01482	R06529
R02918	R03634
R02919	R03635
R04347	R05196
R04430	R01855
R03424	R01856
R02912	R01857
R08124	R00509
R04439	R00508
R06447	R02021
R04188	R00505
R01645	R01858
R11188	R01859
R01312	R02023
R11183	R01920
R10852	R09247
R04210	R02027
R08127	R09372
R01641	R03189
R00212	R02029
R00215	R03180
R00214	R03182
R00217	R05508
R00216	R00540
R11021	R00439
R04237	R00438
R00177	R08227
R08042	R08220
R04230	R08221
R04633	R08222
R03634	R00431
R03635	R00430
R01855	R00435
R01856	R00434
R00509	R00437
R00508	R01678
R05293	R01676
R00505	R01677
R02297	R02340
R01858	R07459
R01859	R07456
R02295	R03299
R05920	R03291
R00955	R03293
R08734	R00726
R05922	R00720
R02027	R06211
R09372	R04218
R03189	R00728
R02029	R01072
R09827	R08017
R03187	R01070
R03180	R01071
R02734	R01074
R05508	R00269
R02736	R01078
R01920	R05000
R00438	R04957
R00289	R04486
R08222	R04487
R00430	R03367
R00432	R04170
R00435	R07859
R00434	R03165
R00437	R03163
R01678	R03161
R01676	R05177
R01677	R05176
R02340	R09497
R07459	R09493
R03299	R01290
R03293	R01291
R00727	R01106
R00726	R01104
R00720	R01105
R06211	R00985
R01072	R01103
R00268	R01101
R01070	R11143
R01071	R01582
R01074	R00858
R00269	R00851
R01078	R02164
R05000	R02166
R03916	R00183
R04486	R00182
R03522	R00185
R04487	R00189
R04138	R00188
R03367	R07268
R03361	R04751
R07859	R06917
R00928	R04754
R03165	R02014
R08125	R02017
R03163	R02019
R03161	R02018
R00127	R04534
R00182	R04535
R05176	R04536
R09497	R04537
R09493	R10206
R01290	R10757
R05916	R10204
R00988	R10209
R01106	R09078
R01104	R05591
R00985	R05590
R01103	R10117
R01101	R10116
R11143	R10115
R03998	R02189
R02120	R10119
R04134	R10118
R01582	R00999
R00859	R02908
R00858	R09107
R00851	R04405
R02164	R10689
R02166	R10685
R00183	R03470
R00185	R00228
R00184	R00229
R09676	R00226
R00189	R00227
R00188	R00220
R08159	R00221
R03460	R01762
R04751	R08056
R06917	R08781
R04754	R08780
R04756	R09365
R02014	R01961
R02017	R01844
R03459	R02765
R02019	R03193
R02018	R03192
R04534	R03191
R04535	R03197
R04536	R03194
R04537	R00405
R10206	R00401
R10757	R03751
R10204	R08233
R10209	R08232
R09078	R08230
R05590	R08237
R04603	R08236
R06867	R08239
R10117	R01933
R10116	R01931
R10115	R09543
R02189	R02052
R07772	R03283
R10119	R02376
R10118	R02377
R02902	R02370
R00999	R02371
R03193	R02372
R02909	R01465
R02908	R02570
R04404	R02571
R04405	R00710
R03646	R00713
R10689	R00714
R10685	R06267
R08181	R00717
R08180	R06268
R08183	R06269
R08182	R01061
R10460	R01064
R00228	R01067
R03062	R01066
R00226	R01069
R00227	R01068
R00220	R06004
R00221	R03372
R10979	R01665
R08057	R01664
R08056	R01663
R09365	R03172
R01966	R02487
R03628	R02484
R01481	R02485
R01961	R01288
R02765	R01287
R00533	R01286
R09839	R01280
R11399	R01449
R03191	R01446
R07620	R01117
R03194	R00289
R00405	R04747
R09837	R04746
R03751	R04745
R00409	R04744
R08233	R04743
R08232	R04742
R08230	R04741
R08237	R04740
R01939	R02540
R00361	R04749
R01933	R04748
R01931	R00885
R01268	R05617
R00350	R05614
R02052	R05615
R03283	R02262
R02376	R02020
R02377	R02024
R02371	R05295
R02372	R09248
R01465	R10764
R01183	R03916
R02577	R00089
R02570	R03991
R02571	R03990
R00710	R03277
R00711	R00081
R00713	R00084
R00714	R00086
R06267	R02971
R06265	R03920
R06268	R02806
R06269	R00197
R01061	R00156
R01067	R05332
R01066	R00150
R01069	R00158
R01068	R07381
R00888	R01826
R06004	R08571
R03371	R09726
R01665	R03471
R01664	R00239
R01663	R00238
R03172	R00230
R02484	R10948
R02485	R10949
R01288	R00235
R01287	R10782
R01286	R00905
R01281	R00765
R01280	R04257
R01449	R03576
R01446	R11099
R01117	R11098
R02393	R08734
R02391	R00527
R04747	R01823
R04746	R00524
R04745	R00529
R04744	R00094
R04743	R02718
R04742	R02719
R04741	R03980
R04740	R00093
R02540	R08558
R04749	R08559
R04748	R08553
R00885	R08557
R05617	R08555
R05614	R07618
R05615	R07613
R02020	R00410
R02022	R00416
R02023	R07404
R02024	R07407
R09247	R07406
R05923	R01942
R09248	R01940
R05299	R07270
R04426	R02362
R00089	R02361
R03991	R03443
R03990	R02569
R03277	R02568
R00081	R02565
R00084	R02566
R00086	R06270
R00087	R00709
R00847	R00708
R02971	R00707
R03920	R00706
R04418	R00705
R10301	R00704
R00197	R00703
R00156	R07795
R00150	R01058
R00158	R01728
R07381	R01054
R09092	R01056
R03470	R01057
R08572	R01051
R09726	R03240
R09767	R02235
R00239	R03387
R00238	R02499
R02805	R03145
R10948	R02497
R10949	R02656
R00235	R01432
R09994	R01433
R10782	R01122
R01132	R01123
R04254	R01126
R04257	R01127
R11099	R04936
R11098	R02777
R07504	R02148
R00527	R02382
R01823	R03613
R08739	R01639
R00529	R04880
R00094	R04737
R02718	R04734
R02719	R04738
R07812	R04739
R03980	R01547
R03538	R01542
R00451	R05608
R07404	R00899
R08559	R01541
R04432	R00897
R08553	R00896
R08555	R05606
R07618	R04543
R07613	R01548
R00410	R01549
R00416	R05287
R00418	R02036
R07407	R02035
R04382	R00888
R07950	R09725
R01942	R09722
R01940	R04089
R08954	R10776
R02362	R03968
R02361	R03966
R03443	R00236
R00717	R00948
R07035	R10170
R02568	R10177
R02565	R05132
R02566	R04506
R00709	R02964
R00708	R11555
R00707	R11556
R00706	R11557
R00705	R09124
R00704	R05135
R00703	R04391
R07795	R04393
R01728	R04394
R01054	R04467
R01055	R06858
R01056	R11310
R01057	R11311
R01051	R11316
R03240	R11319
R06010	R07127
R03387	R03816
R02498	R03546
R00571	R03815
R09229	R03813
R02331	R03542
R02497	R04065
R02537	R09099
R00431	R08095
R01432	R08094
R01433	R08093
R01430	R08092
R01123	R08091
R01126	R08090
R01127	R00552
R02777	R00551
R02148	R03601
R02382	R00396
R03613	R00397
R02389	R02703
R01639	R02705
R04880	R02704
R04737	R08433
R04883	R03457
R04738	R08549
R04739	R02851
R04889	R07605
R10219	R07604
R01547	R07603
R01542	R07602
R05608	R07601
R01540	R07600
R01541	R03777
R00897	R03774
R00896	R10993
R05606	R03778
R04543	R02637
R01548	R02631
R01549	R02630
R00230	R02639
R00248	R01959
R05932	R07281
R05931	R01954
R05285	R07463
R05032	R07461
R09725	R07460
R09720	R08944
R04085	R07263
R10776	R02558
R03968	R04435
R03966	R02555
R10170	R02556
R00944	R02557
R02173	R06240
R01148	R00774
R00946	R01049
R11556	R01739
R11557	R01737
R11220	R01736
R09124	R01047
R00943	R01824
R04390	R04439
R04391	R03391
R04394	R03392
R04467	R01600
R06858	R01602
R00149	R00602
R11310	R01137
R11311	R01135
R11316	R01134
R07025	R01132
R07024	R00959
R04427	R00956
R07127	R04710
R01383	R00955
R03816	R00952
R10952	R01138
R03542	R00036
R03549	R01421
R04065	R01424
R09099	R09222
R05933	R04893
R00540	R05389
R08095	R04890
R08094	R04725
R08093	R04724
R08090	R04726
R00552	R09600
R01909	R01555
R03601	R01557
R03600	R05630
R00396	R05633
R00397	R05634
R02703	R05636
R02702	R05637
R02705	R05145
R02704	R05815
R08433	R10831
R03457	R09735
R08549	R09736
R02851	R04095
R07605	R05706
R07604	R04658
R07603	R03975
R07602	R03977
R07601	R09289
R07600	R03970
R03777	R08954
R04420	R10149
R02855	R10146
R03778	R10147
R02630	R10140
R02639	R04386
R01959	R04385
R07281	R04383
R01954	R07379
R01956	R02081
R07463	R02952
R07461	R04470
R07460	R04475
R08945	R02110
R08944	R00174
R08947	R00863
R08946	R00178
R08941	R02112
R07263	R11307
R08942	R11308
R02558	R04076
R04435	R02055
R02262	R07070
R02555	R02022
R02556	R02734
R02557	R02735
R00790	R02736
R00776	R02737
R00774	R02733
R01049	R00549
R01739	R00548
R03425	R02738
R01737	R02739
R01736	R01899
R01731	R00381
R10649	R01890
R01824	R01896
R03391	R08158
R03392	R04148
R01600	R08157
R01826	R07671
R00602	R07677
R01137	R08166
R01135	R03707
R01134	R01967
R00959	R01968
R04710	R01969
R01138	R06943
R00036	R10848
R01421	R02545
R05511	R04231
R01424	R02549
R05510	R01059
R08980	R03018
R09222	R03014
R01762	R03015
R04893	R03012
R05389	R03013
R04891	R00768
R04890	R07387
R04725	R08572
R04724	R00761
R04726	R00760
R01555	R00762
R05639	R00764
R01557	R07818
R07233	R07819
R05630	R07810
R05633	R07816
R05634	R00615
R05636	R00617
R05637	R00610
R05815	R00619
R01884	R01416
R03938	R01411
R10831	R00945
R09735	R00944
R01090	R01148
R09736	R00946
R09730	R08739
R04097	R00943
R04095	R00942
R05706	R01388
R10099	R03236
R03975	R03237
R03977	R03232
R09289	R03231
R05591	R03238
R04673	R03239
R10149	R05627
R10146	R05624
R10147	R04864
R10140	R05629
R10141	R01560
R04386	R01561
R04385	R01562
R04383	R01567
R02404	R01569
R04380	R01090
R11543	R01092
R02957	R00200
R02952	R02059
R07104	R02053
R04470	R02054
R09134	R10551
R04475	R03948
R02110	R05712
R02360	R03940
R00174	R04440
R00863	R04666
R00178	R03947
R11307	R03140
R11306	R09770
R11308	R10159
R03316	R10150
R00867	R04444
R00590	R04445
R05369	R02948
R02051	R04441
R04072	R04911
R02055	R02940
R02021	R04448
R08718	R02946
R07070	R11207
R08717	R01752
R02735	R02493
R02737	R05406
R02731	R05404
R02733	R00161
R00549	R02778
R00548	R02670
R02738	R11443
R02739	R02833
R01899	R11444
R00381	R04286
R06270	R00803
R01890	R00805
R01896	R01887
R04972	R02722
R08408	R11062
R08158	R02720
R04148	R00578
R08157	R01880
R07670	R00575
R07671	R02728
R07675	R00570
R08379	R00571
R03707	R00573
R06529	R11591
R01968	R00378
R01969	R00377
R08384	R00372
R00935	R00371
R02984	R08146
R03815	R07661
R07494	R08367
R10848	R08368
R04231	R01121
R02541	R04292
R02549	R01976
R03018	R02619
R03014	R01978
R03015	R02613
R03012	R07064
R03013	R01434
R00768	R08701
R07387	R08700
R07385	R00286
R00761	R07069
R00760	R06620
R00762	R02142
R00765	R02532
R00764	R02530
R00766	R08968
R03813	R02147
R01709	R00754
R01706	R00756
R08926	R00750
R07818	R00751
R07819	R03005
R03921	R03004
R07810	R00597
R07816	R07393
R07814	R00590
R07815	R07396
R00615	R07399
R00617	R00203
R00610	R07639
R03122	R02288
R00619	R02285
R01631	R02287
R01415	R06530
R01416	R02283
R01411	R07809
R09450	R07808
R00940	R07233
R05135	R03317
R00942	R00621
R01385	R00623
R01388	R01621
R06722	R03132
R03236	R01626
R03237	R01625
R03232	R01624
R03231	R01150
R03238	R01401
R03239	R01152
R05627	R01155
R05624	R01406
R04866	R01157
R04867	R01404
R04864	R00970
R05390	R01158
R04863	R00974
R05629	R01397
R01560	R01395
R01561	R01394
R01562	R10086
R01529	R01398
R01567	R00936
R01569	R07935
R01092	R09400
R01093	R02192
R01095	R09840
R06520	R09845
R02059	R01717
R02058	R01716
R02053	R01715
R02054	R01714
R02056	R03220
R03948	R01711
R05712	R03222
R08991	R10830
R03940	R01718
R04666	R09995
R03947	R05659
R03140	R04639
R09770	R05237
R00787	R01579
R10159	R01570
R10150	R02060
R03145	R09993
R04444	R01087
R04445	R01086
R02948	R01083
R04441	R01082
R03494	R02933
R04911	R02263
R11204	R01025
R02940	R02269
R04448	R03955
R11205	R04674
R01857	R04673
R05934	R04672
R03260	R09719
R07136	R04678
R05406	R06838
R05404	R06836
R00161	R06835
R00160	R08229
R02778	R10866
R02670	R04907
R11335	R04457
R11444	R01540
R04258	R04365
R08226	R04908
R00803	R05605
R03302	R10185
R00805	R10186
R02722	R05607
R02720	R00894
R01880	R00112
R00575	R00114
R02728	R00115
R00570	R11329
R00573	R00891
R02285	R11325
R00378	R02840
R00376	R11104
R00377	R07125
R00375	R00026
R00372	R00024
R00371	R00025
R08146	R00022
R08364	R04053
R08367	R00028
R08363	R05509
R07669	R00568
R08368	R00566
R03713	R00565
R05605	R02991
R02016	R00369
R01122	R02137
R04292	R00361
R01431	R00360
R01977	R11581
R01976	R10859
R02619	R02135
R00817	R01482
R01978	R07656
R02613	R08603
R07064	R07653
R08702	R08281
R08700	R01989
R00282	R02661
R00286	R01983
R00287	R00299
R07069	R01884
R06620	R08777
R02142	R00291
R07481	R00294
R07483	R02527
R02532	R07234
R02530	R03038
R02531	R00742
R02536	R00747
R02147	R00746
R08962	R03031
R00754	R00749
R00756	R03033
R05320	R03035
R00750	R00585
R03005	R00586
R03004	R00582
R00597	R00278
R07396	R00588
R07399	R02003
R02519	R00722
R00203	R08060
R11443	R07832
R02288	R02291
R06530	R02297
R02283	R02296
R07809	R02295
R07808	R02294
R09409	R03104
R07807	R03105
R03139	R03106
R00621	R02459
R00623	R02454
