Reaction	Preval_Metagenome	Core_global	Type
R10244	100	SI	Reacciones
R07336	100	NO	Reacciones
R08503	100	SI	Reacciones
R06200	100	SI	Reacciones
R07888	100	NO	Reacciones
R08087	100	NO	Reacciones
R08693	100	SI	Reacciones
R04311	100	SI	Reacciones
R01445	100	NO	Reacciones
R08856	100	NO	Reacciones
R01887	100	SI	Reacciones
R10951	100	NO	Reacciones
R00428	100	SI	Reacciones
R00429	100	SI	Reacciones
R00439	100	SI	Reacciones
R00421	100	SI	Reacciones
R00426	100	SI	Reacciones
R01918	100	NO	Reacciones
R00425	100	SI	Reacciones
R06114	100	SI	Reacciones
R01318	100	NO	Reacciones
R01648	100	SI	Reacciones
R06113	100	SI	Reacciones
R01644	100	SI	Reacciones
R01647	100	SI	Reacciones
R01310	100	NO	Reacciones
R01317	100	SI	Reacciones
R01316	100	SI	Reacciones
R01315	100	SI	Reacciones
R02352	100	NO	Reacciones
R02353	100	NO	Reacciones
R02358	100	NO	Reacciones
R02596	100	SI	Reacciones
R09136	100	SI	Reacciones
R02590	100	SI	Reacciones
R10507	100	SI	Reacciones
R00734	100	SI	Reacciones
R01005	100	NO	Reacciones
R07411	100	SI	Reacciones
R01001	100	SI	Reacciones
R01000	100	SI	Reacciones
R01009	100	SI	Reacciones
R02529	100	SI	Reacciones
R08227	100	SI	Reacciones
R06066	100	SI	Reacciones
R02528	100	SI	Reacciones
R06590	100	SI	Reacciones
R03417	100	NO	Reacciones
R03351	100	SI	Reacciones
R03350	100	SI	Reacciones
R03355	100	SI	Reacciones
R00904	100	SI	Reacciones
R05506	100	SI	Reacciones
R03300	100	NO	Reacciones
R08366	100	SI	Reacciones
R05907	100	NO	Reacciones
R08221	100	SI	Reacciones
R02257	100	SI	Reacciones
R01466	100	SI	Reacciones
R01461	100	NO	Reacciones
R00008	100	NO	Reacciones
R00996	100	SI	Reacciones
R00994	100	SI	Reacciones
R00746	100	SI	Reacciones
R03805	100	NO	Reacciones
R00848	100	SI	Reacciones
R00844	100	SI	Reacciones
R02170	100	NO	Reacciones
R00842	100	SI	Reacciones
R00192	100	SI	Reacciones
R00190	100	SI	Reacciones
R00191	100	SI	Reacciones
R00194	100	SI	Reacciones
R10100	100	NO	Reacciones
R06927	100	SI	Reacciones
R03909	100	SI	Reacciones
R09796	100	NO	Reacciones
R01917	100	SI	Reacciones
R02825	100	SI	Reacciones
R10039	100	SI	Reacciones
R02000	100	SI	Reacciones
R09220	100	SI	Reacciones
R10035	100	SI	Reacciones
R04509	100	SI	Reacciones
R05586	100	SI	Reacciones
R09660	100	SI	Reacciones
R05582	100	SI	Reacciones
R00420	100	SI	Reacciones
R04506	100	SI	Reacciones
R06859	100	SI	Reacciones
R01231	100	SI	Reacciones
R04989	100	NO	Reacciones
R04988	100	SI	Reacciones
R04985	100	SI	Reacciones
R04986	100	SI	Reacciones
R09375	100	NO	Reacciones
R08120	100	SI	Reacciones
R01482	100	SI	Reacciones
R02918	100	SI	Reacciones
R02919	100	SI	Reacciones
R04347	100	NO	Reacciones
R04430	100	SI	Reacciones
R03424	100	NO	Reacciones
R02912	100	SI	Reacciones
R08124	100	SI	Reacciones
R04439	100	SI	Reacciones
R06447	100	SI	Reacciones
R04188	100	SI	Reacciones
R01645	100	SI	Reacciones
R11188	100	SI	Reacciones
R01312	100	SI	Reacciones
R11183	100	SI	Reacciones
R10852	100	NO	Reacciones
R04210	100	SI	Reacciones
R08127	100	SI	Reacciones
R01641	100	SI	Reacciones
R00212	100	SI	Reacciones
R00215	100	SI	Reacciones
R00214	100	SI	Reacciones
R00217	100	SI	Reacciones
R00216	100	SI	Reacciones
R11021	100	SI	Reacciones
R04237	100	NO	Reacciones
R00177	100	SI	Reacciones
R08042	100	SI	Reacciones
R04230	100	SI	Reacciones
R04633	100	NO	Reacciones
R03634	100	SI	Reacciones
R03635	100	SI	Reacciones
R01855	100	SI	Reacciones
R01856	100	SI	Reacciones
R00509	100	SI	Reacciones
R00508	100	SI	Reacciones
R05293	100	NO	Reacciones
R00505	100	SI	Reacciones
R02297	100	SI	Reacciones
R01858	100	SI	Reacciones
R01859	100	SI	Reacciones
R02295	100	SI	Reacciones
R05920	100	NO	Reacciones
R00955	100	SI	Reacciones
R08734	100	SI	Reacciones
R05922	100	NO	Reacciones
R02027	100	SI	Reacciones
R09372	100	SI	Reacciones
R03189	100	SI	Reacciones
R02029	100	SI	Reacciones
R09827	100	NO	Reacciones
R03187	100	NO	Reacciones
R03180	100	SI	Reacciones
R02734	100	SI	Reacciones
R05508	100	SI	Reacciones
R02736	100	SI	Reacciones
R01920	100	SI	Reacciones
R00438	100	SI	Reacciones
R00289	100	SI	Reacciones
R08222	100	SI	Reacciones
R00430	100	SI	Reacciones
R00432	100	NO	Reacciones
R00435	100	SI	Reacciones
R00434	100	SI	Reacciones
R00437	100	SI	Reacciones
R01678	100	SI	Reacciones
R01676	100	SI	Reacciones
R01677	100	SI	Reacciones
R02340	100	SI	Reacciones
R07459	100	SI	Reacciones
R03299	100	SI	Reacciones
R03293	100	SI	Reacciones
R00727	100	NO	Reacciones
R00726	100	SI	Reacciones
R00720	100	SI	Reacciones
R06211	100	SI	Reacciones
R01072	100	SI	Reacciones
